Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
AB00309,UI-5550RE PoE,RE,GigE,CMOS,ON Semiconductor,23.8 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,IP65/67,UI-5550RE-C-HQ PoE Rev.2
AB.0010.1.37102.24,UI-5550SE,SE,GigE,CMOS,ON Semiconductor,23.8 fps,1600 x 1200,4.480 mm x 3.360 mm,Rolling Shutter,"1/3""",1.92 MPix,2.8 µm,IP30,UI-5550SE-C-HQ Rev.2
AB02045,UI-5580CP Rev. 2,CP,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-5580CP-C-HQ Rev.2
AB02032,GV-5580CP,CP,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,GV-5580CP-C-HQ
AB02314,UI-5580FA,FA,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP65/67,UI-5580FA-C-HQ
AB02330,GV-5580FA,FA,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP65/67,GV-5580FA-C-HQ
AB00092,UI-5580SE,SE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,UI-5580SE-C-HQ Rev.2
AB02326,GV-5580SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,IP30,GV-5580SE-C-HQ
AB00448,UI-5581LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5581LE-C
AB02216,UI-5581LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5581LE-C-MB
AB02327,GV-5581SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,GV-5581SE-C-HQ
AB00450,UI-5582LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5582LE-C
AB02217,UI-5582LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5582LE-C-MB
AB02328,GV-5582SE,SE,GigE,CMOS,ON Semiconductor,15.0 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,GV-5582SE-C
AB00469,UI-5584LE,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5584LE-C-HQ
AB02218,UI-5584LE-MB,LE,GigE,CMOS,ON Semiconductor,14.1 fps,2560 x 1920,5.632 mm x 4.224 mm,"Global Start Shutter, Rolling Shutter","1/2""",4.92 MPix,2.2 µm,No,UI-5584LE-C-HQ-MB
AB.0010.1.37002.24,UI-5640SE,SE,GigE,CMOS,ON Semiconductor,25.0 fps,1280 x 1024,4.608 mm x 3.686 mm,Rolling Shutter,"1/3""",1.31 MPix,3.6 µm,IP30,UI-5640SE-C-HQ Rev.2
UI-5860CP-C-HQ Rev.2: AB02038UI-5860CP-M-GL Rev.2: AB02039,UI-5860CP Rev. 2,CP,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP30,UI-5860CP-C-HQ Rev.2UI-5860CP-M-GL Rev.2
GV-5860CP-C-HQ: AB02025GV-5860CP-M-GL: AB02026,GV-5860CP,CP,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP30,GV-5860CP-C-HQGV-5860CP-M-GL
UI-5860FA-C-HQ: AB02577UI-5860FA-M-GL: AB02578,UI-5860FA,FA,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP65/67,UI-5860FA-C-HQUI-5860FA-M-GL
GV-5860FA-C-HQ: AB02558GV-5860FA-M-GL: AB02559,GV-5860FA,FA,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP65/67,GV-5860FA-C-HQGV-5860FA-M-GL
UI-5860SE-C-HQ Rev.4: AB02581UI-5860SE-M-GL Rev.4: AB02582,UI-5860SE Rev. 4,SE,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,IP30,UI-5860SE-C-HQ Rev.4UI-5860SE-M-GL Rev.4
Error 'Item number' occurred
UI-5861SE-C-HQ Rev.4: AB02583UI-5861SE-M-GL Rev.4: AB02584,UI-5861SE Rev. 4,SE,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-5861SE-C-HQ Rev.4UI-5861SE-M-GL Rev.4
GV-5861SE-C-HQ: AB02566GV-5861SE-M-GL: AB02567,GV-5861SE,SE,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,GV-5861SE-C-HQGV-5861SE-M-GL
UI-5862SE-C Rev.4: AB02585UI-5862SE-M Rev.4: AB02586,UI-5862SE Rev. 4,SE,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,UI-5862SE-C Rev.4UI-5862SE-M Rev.4
GV-5862SE-C: AB02568GV-5862SE-M: AB02569,GV-5862SE,SE,GigE,CMOS,Sony,53.0 fps,1936 x 1096,5.610 mm x 3.175 mm,Rolling Shutter,"1/2.8""",2.12 MPix,2.9 µm,No,GV-5862SE-CGV-5862SE-M
UI-5880CP-C-HQ Rev.2: AB00925UI-5880CP-M-GL Rev.2: AB00924,UI-5880CP Rev. 2,CP,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,UI-5880CP-C-HQ Rev.2UI-5880CP-M-GL Rev.2
GV-5880CP-C-HQ: AB02023GV-5880CP-M-GL: AB02024,GV-5880CP,CP,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,GV-5880CP-C-HQGV-5880CP-M-GL
UI-5880FA-C-HQ: AB02579UI-5880FA-M-GL: AB02580,UI-5880FA,FA,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP65/67,UI-5880FA-C-HQUI-5880FA-M-GL
GV-5880FA-C-HQ: AB02560GV-5880FA-M-GL: AB02561,GV-5880FA,FA,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP65/67,GV-5880FA-C-HQGV-5880FA-M-GL
UI-5880SE-C-HQ Rev.4: AB02587UI-5880SE-M-GL Rev.4: AB02588,UI-5880SE Rev. 4,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,UI-5880SE-C-HQ Rev.4UI-5880SE-M-GL Rev.4
GV-5880SE-C-HQ: AB02564GV-5880SE-M-GL: AB02565,GV-5880SE,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,IP30,GV-5880SE-C-HQGV-5880SE-M-GL
UI-5881SE-C-HQ Rev.4: AB02589UI-5881SE-M-GL Rev.4: AB02590,UI-5881SE Rev. 4,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-5881SE-C-HQ Rev.4UI-5881SE-M-GL Rev.4
GV-5881SE-C-HQ: AB02570GV-5881SE-M-GL: AB02571,GV-5881SE,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,GV-5881SE-C-HQGV-5881SE-M-GL
UI-5882SE-C Rev.4: AB02591UI-5882SE-M Rev.4: AB02592,UI-5882SE Rev. 4,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,UI-5882SE-C Rev.4UI-5882SE-M Rev.4
GV-5882SE-C: AB02572GV-5882SE-M: AB02573,GV-5882SE,SE,GigE,CMOS,Sony,18.0 fps,3088 x 2076,7.410 mm x 4.980 mm,Rolling Shutter,"1/1.8""",6.41 MPix,2.4 µm,No,GV-5882SE-CGV-5882SE-M
AB00391,uEye XS 2,XS,USB 2.0,CMOS,ON Semiconductor,15.0 fps,2592 x 1944,3.620 mm x 2.720 mm,Rolling Shutter,"1/4""",5.04 MPix,1.4 µm,IP30,uEye XS 2
AL00035,uEye XS Starter kit,XS,USB 2.0,CMOS,ON Semiconductor,15.0 fps,2592 x 1944,3.620 mm x 2.720 mm,Rolling Shutter,"1/4""",5.04 MPix,1.4 µm,IP30,uEye XS Starter kit
