Item number,Name,Family,Interface,Sensor type,Manufacturer,Frame rate,Resolution (h x v),Optical Area,Shutter,Optical class,Resolution,Pixel size,IP code,Data sheet
UI-5250SE-C-HQ Rev.4: AB02315UI-5250SE-M-GL Rev.4: AB02316,UI-5250SE Rev. 4,SE,GigE,CMOS,e2v,52.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,UI-5250SE-C-HQ Rev.4UI-5250SE-M-GL Rev.4
GV-5250SE-C-HQ: AB02331GV-5250SE-M-GL: AB02332,GV-5250SE,SE,GigE,CMOS,e2v,52.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,IP30,GV-5250SE-C-HQGV-5250SE-M-GL
UI-5251LE-C: AB00345UI-5251LE-M: AB00346,UI-5251LE,LE,GigE,CMOS,e2v,35.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-5251LE-CUI-5251LE-M
UI-5251SE-C-HQ Rev.4: AB02317UI-5251SE-M-GL Rev.4: AB02318,UI-5251SE Rev. 4,SE,GigE,CMOS,e2v,52.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-5251SE-C-HQ Rev.4UI-5251SE-M-GL Rev.4
GV-5251SE-C-HQ: AB02333GV-5251SE-M-GL: AB02334,GV-5251SE,SE,GigE,CMOS,e2v,52.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,GV-5251SE-C-HQGV-5251SE-M-GL
UI-5252LE-C: AB00347UI-5252LE-M: AB00348,UI-5252LE,LE,GigE,CMOS,e2v,35.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-5252LE-CUI-5252LE-M
Error 'Item number' occurred
GV-5252SE-C: AB02335GV-5252SE-M: AB02336,GV-5252SE,SE,GigE,CMOS,e2v,52.0 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,GV-5252SE-CGV-5252SE-M
UI-5254LE-C-HQ: AB00463UI-5254LE-M-GL: AB00464,UI-5254LE,LE,GigE,CMOS,e2v,35.6 fps,1600 x 1200,7.200 mm x 5.400 mm,"Global Shutter, Global Start Shutter, Rolling Shutter","1/1.8""",1.92 MPix,4.5 µm,No,UI-5254LE-C-HQUI-5254LE-M-GL
UI-5260CP-C-HQ Rev.2: AB00820UI-5260CP-M-GL Rev.2: AB00819,UI-5260CP Rev. 2,CP,GigE,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,IP30,UI-5260CP-C-HQ Rev.2UI-5260CP-M-GL Rev.2
GV-5260CP-C-HQ: AB02015GV-5260CP-M-GL: AB02016,GV-5260CP,CP,GigE,CMOS,Sony,46.0 fps,1920 x 1200,11.250 mm x 7.030 mm,Global Shutter,"1/1.2""",2.30 MPix,5.9 µm,IP30,GV-5260CP-C-HQGV-5260CP-M-GL
UI-5260FA-C-HQ: AB00875UI-5260FA-M-GL: AB00874,UI-5260FA,FA,GigE,CMOS,Sony,47.0 fps,1936 x 1216,11.345 mm x 7.126 mm,Global Shutter,"1/1.2""",2.35 MPix,5.9 µm,IP65/67,UI-5260FA-C-HQUI-5260FA-M-GL
